x=60.4, y=39.63, z=75.1
x=88.87, y=74.34, z=23.68
x=20.27, y=84.25, z=91.07
x=83.11, y=69.51, z=42.89
x=51.44, y=72.06, z=27.56
x=95.65, y=1.52, z=53.52
x=40.62, y=32.43, z=5.29
x=83.26, y=26.15, z=62.64
x=58.93, y=66.89, z=87.06
x=24.91, y=34.47, z=10.85
x=80.11, y=94.86, z=50.48
x=55.21, y=83.74, z=24.82
x=78.89, y=4, z=9.07
x=69.96, y=87.11, z=78.58
x=12.85, y=38.55, z=50.64
x=40.4, y=34.2, z=52.16
x=93.92, y=74.82, z=84.59
x=99.21, y=58.08, z=10.74
x=61.86, y=17.01, z=77.63
x=48.92, y=41.92, z=12.1
x=59.77, y=22.03, z=6.96
x=10.25, y=77.23, z=90.7
x=35.07, y=56.12, z=94.7
x=44.14, y=26.08, z=81.81
x=22.72, y=38.93, z=20.36
x=73.36, y=79.33, z=54.56
x=25.52, y=73.25, z=29.38
x=10.11, y=72.46, z=87.46
x=20.85, y=34.32, z=4.46
x=98.49, y=83.25, z=46.38
x=10.59, y=43.02, z=68.41
x=17.55, y=53.27, z=45.64
x=8.25, y=88.34, z=1.77
x=2.95, y=32.48, z=27.85
x=84.76, y=55.2, z=66.77
x=5.12, y=28.56, z=46.1
x=59.69, y=54.08, z=19.35
x=89.07, y=64.19, z=91.82
x=76.52, y=85.05, z=26.14
x=80.99, y=83.53, z=9.38
x=27.37, y=94.12, z=52.4
x=95.78, y=11.67, z=5.67
x=41.43, y=19.91, z=94.01
x=43.19, y=22.86, z=26.48
x=71.04, y=7.62, z=81.68
x=37.81, y=12.75, z=10.24
x=83.91, y=72.43, z=64.32
x=3.27, y=61.5, z=28.51
x=95.08, y=38.03, z=13.56
x=21.22, y=19.01, z=97.09
x=30.61, y=46.38, z=91.21
x=83.01, y=42.17, z=2.88
x=88.68, y=83.59, z=22.79
x=82.68, y=26.78, z=45.66
x=9.17, y=97.82, z=53.28
x=90.85, y=35.63, z=66.03
x=1.08, y=19.55, z=38.46
x=65.4, y=22.81, z=99.96
x=93.91, y=17.89, z=37.99
x=7.47, y=39.11, z=57
x=4.56, y=69.72, z=3.39
x=95.77, y=52.73, z=45.55
x=98.65, y=41.4, z=29.14
x=21.45, y=24.09, z=55.93
x=67.1, y=33.25, z=53.75
x=20.38, y=24.1, z=89.38
x=86.4, y=25.18, z=8.92
x=24.86, y=90.58, z=31.73
x=24.83, y=84.5, z=49.63
x=62.81, y=91.97, z=88.74
x=19.81, y=96.53, z=58.46
x=23.2, y=92.3, z=11.18
x=68.75, y=90.95, z=52.58
x=97.89, y=12.4, z=76.67
x=53.82, y=79.5, z=9.92
x=7.56, y=99.88, z=34.02
x=96.94, y=86.28, z=59.2
x=5.87, y=11.15, z=49.79
x=37.6, y=35.97, z=34.28
x=87.22, y=98.79, z=26.25
x=75.96, y=18.6, z=22.78
x=34.42, y=41.79, z=15.08
x=45.6, y=10.54, z=6.04
x=98.18, y=8.43, z=18.44
x=74.85, y=62.25, z=97.94
x=84.77, y=69.82, z=97.82
x=18.79, y=66.76, z=84.1
x=77.99, y=72.62, z=95.25
x=27.78, y=10.22, z=31.22
x=62.06, y=97.45, z=30.01
x=88.31, y=73.41, z=48.61
x=11.09, y=7.83, z=90.4
x=26.17, y=53.43, z=0.94
x=32.21, y=51.62, z=9.38
x=50.64, y=26.47, z=71.63
x=48.58, y=11.24, z=41.45
x=46.39, y=30.04, z=8.2
x=30.49, y=8.03, z=80.83
x=25.74, y=35.81, z=91.05
x=56.97, y=97.88, z=88.5
