x=69.81 y=27.1 z=33.18
x=34.88 y=97.46 z=80.57
x=17.05 y=2.03 z=51.27
x=87 y=91.56 z=72.82
x=5.38 y=44.14 z=34.4
x=85.57 y=29.85 z=42.84
x=45.22 y=60.94 z=89.23
x=12.01 y=11.71 z=79.36
x=99.36 y=7.86 z=64.47
x=50.83 y=54.9 z=17.7
x=23.42 y=24.71 z=44.8
x=56.6 y=59.59 z=42.25
x=37.16 y=76.64 z=44.29
x=88.44 y=63.64 z=35.85
x=61.26 y=69.02 z=79.98
x=95.65 y=54.59 z=9.83
x=38.5 y=99.8 z=70.77
x=27.73 y=11.81 z=82.48
x=7.08 y=11.18 z=90.35
x=71.55 y=62 z=45.25
x=89.25 y=85.42 z=69.95
x=34.05 y=42.02 z=29.55
x=76.3 y=79.18 z=6.19
x=20.59 y=67.62 z=69.83
x=56.44 y=28.88 z=38.85
x=36.42 y=24.53 z=93.43
x=46.25 y=63.03 z=93.24
x=17.02 y=90.76 z=5.05
x=99.5 y=97.84 z=16.22
x=89.85 y=69.39 z=78.23
x=35.1 y=58.65 z=63.65
x=5.05 y=92.69 z=5.66
x=34.6 y=69 z=84.85
x=40.79 y=89.59 z=52.47
x=10.62 y=46.02 z=81.34
x=49.47 y=82.44 z=5.88
x=42.9 y=28.69 z=68.9
x=36.14 y=45.71 z=59.66
x=41.18 y=45.22 z=57.5
x=57.4 y=35.07 z=26.89
x=35.63 y=70.16 z=85.53
x=99.28 y=75.22 z=78.23
x=4.94 y=9.81 z=47.23
x=89.79 y=50.6 z=36.81
x=42.26 y=61.21 z=82.84
x=23.6 y=10.68 z=65.28
x=29.48 y=53.58 z=93.97
x=98.38 y=89.71 z=39.68
x=58.04 y=30.9 z=84.9
x=15.54 y=88.3 z=19.97
x=42.43 y=23.93 z=90.13
x=27.97 y=23.21 z=65.35
x=6.2 y=28.15 z=75.16
x=53.42 y=17.94 z=25.76
x=90.24 y=60.2 z=86.97
x=73.07 y=83.81 z=97.65
x=38.35 y=13.29 z=51.23
x=32.32 y=11.67 z=40.95
x=72 y=69.71 z=71.84
x=56.9 y=85.26 z=60.14
x=76.87 y=27.69 z=84.08
x=67.01 y=55.66 z=7.29
x=32.36 y=61.85 z=35.44
x=7.52 y=15.27 z=53.38
x=33.28 y=5.51 z=13.58
x=20.25 y=78.58 z=97.39
x=17.9 y=16.93 z=10.67
x=69.14 y=49.25 z=22.34
x=10.08 y=21.26 z=92.06
x=81.93 y=78.16 z=77.32
x=42.07 y=55.04 z=5
x=26.15 y=22.04 z=60.66
x=33.43 y=54.4 z=22.51
x=68.87 y=61.92 z=37.79
x=22.25 y=95.2 z=43.3
x=35.83 y=15.45 z=21.88
x=33.22 y=33.36 z=38.81
x=43.9 y=2.49 z=88.07
x=66.24 y=12.58 z=9.32
x=58.3 y=94.5 z=87.48
x=35.62 y=36.57 z=42.52
x=40.62 y=62.72 z=64.56
x=1.28 y=96.15 z=18.97
x=23.79 y=65.02 z=80.89
x=61.58 y=87.27 z=76.09
x=4.88 y=23.1 z=91.55
x=26.76 y=56.33 z=24.9
x=65.57 y=0.22 z=27.4
x=53.64 y=66.46 z=39.97
x=62.96 y=24.77 z=34.47
x=50.45 y=60.38 z=71.05
x=92.97 y=1 z=33.76
x=57.53 y=2.29 z=29.91
x=76.5 y=26.08 z=94.93
x=57.39 y=87.66 z=82.2
x=33.48 y=92.54 z=5.31
x=25.03 y=19.3 z=61.63
x=49.93 y=84.87 z=61.85
x=77.33 y=38.51 z=28.32
x=17.3 y=1.48 z=53.08
