X=80.94 deg | Y=170.90 deg | Z=89.16 deg

X=80.71 deg | Y=170.68 deg | Z=89.16 deg

X=80.46 deg | Y=170.40 deg | Z=88.95 deg

X=80.42 deg | Y=170.38 deg | Z=89.16 deg

X=80.49 deg | Y=170.45 deg | Z=89.16 deg

X=80.68 deg | Y=170.62 deg | Z=88.95 deg

X=80.68 deg | Y=170.62 deg | Z=88.95 deg

X=80.71 deg | Y=170.69 deg | Z=89.37 deg

X=80.75 deg | Y=170.69 deg | Z=88.96 deg

X=80.27 deg | Y=170.21 deg | Z=88.96 deg

X=80.71 deg | Y=170.68 deg | Z=89.16 deg

X=80.49 deg | Y=170.45 deg | Z=89.16 deg

X=80.71 deg | Y=170.70 deg | Z=89.58 deg

X=80.49 deg | Y=170.45 deg | Z=89.16 deg

X=80.68 deg | Y=170.62 deg | Z=88.95 deg

X=80.49 deg | Y=170.45 deg | Z=89.16 deg

X=80.53 deg | Y=170.49 deg | Z=89.17 deg

X=80.45 deg | Y=170.42 deg | Z=89.16 deg

X=80.42 deg | Y=170.40 deg | Z=89.37 deg

X=80.71 deg | Y=170.68 deg | Z=89.16 deg

X=80.53 deg | Y=170.49 deg | Z=89.17 deg

X=80.49 deg | Y=170.47 deg | Z=89.37 deg

X=80.49 deg | Y=170.45 deg | Z=89.16 deg

X=80.71 deg | Y=170.68 deg | Z=89.16 deg

X=80.68 deg | Y=170.64 deg | Z=89.16 deg

X=80.45 deg | Y=170.42 deg | Z=89.16 deg

X=80.71 deg | Y=170.68 deg | Z=89.16 deg

X=80.72 deg | Y=170.66 deg | Z=88.95 deg

X=80.64 deg | Y=170.56 deg | Z=88.73 deg

X=80.49 deg | Y=170.43 deg | Z=88.95 deg

